timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576762188274,35,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,35,0,1
1576762188315,10,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,10,0,0
1576762188325,8,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,8,0,0
1576762188333,9,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,9,0,0
1576762188343,6,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,6,0,0
1576762188349,5,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,5,0,0
1576762188355,7,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,7,0,0
1576762188362,4,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,4,0,0
1576762188366,6,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,6,0,0
1576762188372,6,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,6,0,0
1576762188378,6,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,6,0,0
1576762188384,5,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,1,1,http://localhost:3343/api/v1/save,5,0,0
1576762188389,7,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,2,2,http://localhost:3343/api/v1/save,7,0,0
1576762188394,11,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,286,16843,2,2,http://localhost:3343/api/v1/save,11,0,1
1576762188396,10,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,286,16843,2,2,http://localhost:3343/api/v1/save,10,0,0
1576762188406,7,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,286,16843,2,2,http://localhost:3343/api/v1/save,7,0,0
